date,store_id,sku_id,units_sold
2025-11-22,STORE_DELHI_NCR_01,INST-MAGGI-MAS-70,22
2025-11-23,STORE_JAIPUR_01,ELEC-SAM-25W-ADAPT,0
2025-12-02,STORE_DELHI_NCR_01,BEV-COC-750,26
2025-11-26,STORE_HYDERABAD_01,ELEC-SAM-25W-CBL,0
2025-11-25,STORE_HYDERABAD_01,CONF-SILK-PLN-60,11
2025-12-07,STORE_PUNE_01,BEV-COC-750,79
2025-11-24,STORE_THANE_01,INST-MAGGI-SPC-70,24
2025-11-25,STORE_MUMBAI_01,BEV-COCZ-750,26
2025-11-22,STORE_MUMBAI_01,INST-MAGGI-SPC-70,40
2025-11-20,STORE_BANGALORE_01,ELEC-SAM-25W-ADAPT,1
2025-12-01,STORE_JAIPUR_01,ELEC-SAM-25W-ADAPT,1
2025-12-08,STORE_MUMBAI_01,ELEC-SAM-25W-CBL,1
2025-11-21,STORE_DELHI_NCR_01,SNK-LAYS-CLSC-52,32
2025-11-21,STORE_KOLKATA_01,BEV-COCZ-750,43
2025-12-03,STORE_MUMBAI_01,BEV-THUMSUP-750,42
2025-11-25,STORE_PUNE_01,BEV-COCZ-750,57
2025-11-24,STORE_HYDERABAD_01,SNK-LAYS-CLSC-52,11
2025-12-01,STORE_PUNE_01,ELEC-SAM-25W-ADAPT,1
2025-11-29,STORE_DELHI_NCR_01,SNK-LAYS-CLSC-52,41
2025-11-29,STORE_THANE_01,INST-MAGGI-MAS-70,13
2025-12-07,STORE_MUMBAI_01,SNK-LAYS-CLSC-52,34
2025-12-01,STORE_BANGALORE_01,BEV-THUMSUP-750,36
2025-11-26,STORE_HYDERABAD_01,ELEC-SAM-25W-ADAPT,1
2025-12-07,STORE_THANE_01,ELEC-SAM-25W-CBL,2
2025-11-26,STORE_AHMEDABAD_01,ELEC-SAM-25W-ADAPT,2
2025-11-20,STORE_JAIPUR_01,BEV-THUMSUP-750,58
2025-12-02,STORE_CHENNAI_01,BEV-COCZ-750,43
2025-12-08,STORE_BANGALORE_01,ELEC-SAM-25W-ADAPT,1
2025-12-06,STORE_DELHI_NCR_01,BEV-COCZ-750,73
2025-12-06,STORE_PUNE_01,INST-MAGGI-SPC-70,16
2025-12-02,STORE_AHMEDABAD_01,CONF-SILK-HAZ-58,5
2025-11-27,STORE_HYDERABAD_01,BEV-THUMSUP-750,50
2025-11-22,STORE_PUNE_01,ELEC-SAM-25W-ADAPT,3
2025-11-23,STORE_MUMBAI_01,BEV-THUMSUP-750,63
2025-12-05,STORE_DELHI_NCR_01,ELEC-SAM-25W-CBL,2
2025-11-19,STORE_JAIPUR_01,INST-MAGGI-SPC-70,54
2025-11-28,STORE_KOLKATA_01,BEV-COC-750,34
2025-12-07,STORE_JAIPUR_01,BEV-COCZ-750,77
2025-11-21,STORE_HYDERABAD_01,BEV-THUMSUP-750,28
2025-12-04,STORE_HYDERABAD_01,BEV-THUMSUP-750,36
2025-12-08,STORE_THANE_01,SNK-LAYS-CLSC-52,38
2025-11-25,STORE_PUNE_01,CONF-SILK-PLN-60,30
2025-11-30,STORE_BANGALORE_01,ELEC-SAM-25W-ADAPT,2
2025-11-26,STORE_KOLKATA_01,BEV-COCZ-750,40
2025-12-07,STORE_HYDERABAD_01,SNK-LAYS-CLSC-52,31
2025-11-19,STORE_JAIPUR_01,BEV-COC-750,34
2025-11-20,STORE_MUMBAI_01,BEV-COCZ-750,51
2025-11-27,STORE_BANGALORE_01,SNK-LAYS-CLSC-52,24
2025-12-07,STORE_CHENNAI_01,CONF-SILK-HAZ-58,13
2025-12-04,STORE_THANE_01,SNK-LAYS-CLSC-52,8
2025-12-02,STORE_MUMBAI_01,CONF-SILK-PLN-60,15
2025-11-20,STORE_JAIPUR_01,BEV-COC-750,44
2025-11-29,STORE_JAIPUR_01,SNK-LAYS-CLSC-52,14
2025-12-06,STORE_BANGALORE_01,BEV-THUMSUP-750,54
2025-11-27,STORE_BANGALORE_01,SNK-LAYS-CLSC-52,36
2025-11-21,STORE_BANGALORE_01,ELEC-SAM-25W-ADAPT,0
2025-12-06,STORE_DELHI_NCR_01,BEV-COCZ-750,91
2025-11-26,STORE_AHMEDABAD_01,CONF-SILK-PLN-60,17
2025-11-25,STORE_THANE_01,BEV-COC-750,30
2025-11-19,STORE_THANE_01,INST-MAGGI-MAS-70,56
2025-12-03,STORE_PUNE_01,CONF-SILK-PLN-60,22
2025-12-06,STORE_BANGALORE_01,BEV-THUMSUP-750,38
2025-11-25,STORE_DELHI_NCR_01,ELEC-SAM-25W-CBL,4
